Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPEB00080	EU	3 on 3 NHL Arcade (Trial)	http://zeus.dl.playstation.net/cdn/EP0006/NPEB00080_00/A7D6APEPmsoH3FhqG7BcRI23awIHofjdL0krkqXWdHULkLmX3HHnnRiM3ndO7JJJB4gwI7kbcPP9eUohCvSgRyQw9YntB7xcayLUm.pkg?product=0085&country=za	MISSING	EP0006-NPEB00080_00-3ON3NHLARCADE001			196642928	
NPEA90034	EU	Killzone 2 (DEMO)	http://zeus.dl.playstation.net/cdn/EP9000/NPEA90034_00/RiWAxSt8H0oR6mANm4ws7qdHCSSST6HvcoGHjSgA2ORnJh1QHbiEgWX4LKCQJxWcqNr3OmkgcYq0RlouHIdwmhMXAnvhlB37ypjRg.pkg	NOT REQUIRED	EP9000-NPEA90034_00-DKILLZONE2000001			1264783856	
NPJA90118	JP	ラチェット＆クランク FUTURE 2 クランク体験版 	http://zeus.dl.playstation.net/cdn/JP9000/NPJA90118_00/6SF53WrbNpFaRPQPsEU9cuHy2afnLfuoqu9emU7aY68cyOJuanjrT6AtnA9Tt1cMDwOCnAgau3aykUFRWqsC0vQnwsuT2RvaUgGHp.pkg	NOT REQUIRED	JP9000-NPJA90118_00-DRATCHETAN000001			2294741440	
NPEA90051	EU	Ratchet & Clank: A Crack in Time Clank Demo - Great Clock Demo	http://zeus.dl.playstation.net/cdn/EP9000/NPEA90051_00/nYg35N5ks9cdgmMY6liQttPIuFioVms7dmDNOp24uLN25H4xAiU3ULwrQybBpoqFxHfpxccefQyyWSTanouoQEW8GQuuphy3l2iWP.pkg	NOT REQUIRED	EP9000-NPEA90051_00-DRATCHETAN000001			2528689616	
BLET50006	EU	DARK SOULS Ⅱ NETWORK TEST Ver.	http://ares.dl.playstation.net/cdn/EP0700/BLET50006_00/EjiFxpGUzpQzozeXxNdKQWMJvbbZAtsklCrPUyafHnWZfBxQaCxMusVexdNaGiEY.pkg?product=0085&country=za	NOT REQUIRED	EP0700-BLET50006_00-DARKSOULS2NT0001			1751238528	
BCET70015	EU	UNCHARTED 2: Among Thieves™ [Public Multiplayer Demo]	MISSING	NOT REQUIRED	EP9000-BCET70015_00-UNCHARTED2CBETA0			0	
NPUB90604	US	Sonic Generations (DEMO)	http://ares.dl.playstation.net/cdn/UP0177/NPUB90604_00/khPllTgLFJMNLpYhMpXlDJYwdDjXzHoIFIpaKftPlSehvuHghZOYTZzzKvAhshJItmzlVRScDijOoWCvYFEGCchnHvgWIaFmZXjDs.pkg	MISSING	UP0177-NPUB90604_00-SONICANNIVDEMO02			697188096	
NPHA80079	ASIA	Ratchet & Clank Future: A Crack in Time Clank (DEMO)	http://zeus.dl.playstation.net/cdn/HP9000/NPHA80079_00/bTcwOAByMYNafYxGepyFY6Umv6UK6UGkjisqkkIoxEQYvn2dIudksQwOBfXLeBkGKcWgxFyI1eJ2jP9dxtNa9EBgCgODB8cBQARYQ.pkg	e914a245f82da653fc6d780644628a2d	HP9000-NPHA80079_00-DRATCHETAN000001			2210670112	
NPJA90116	JP	Ratchet & Clank Future: A Crack in Time Ratchet (DEMO)	http://zeus.dl.playstation.net/cdn/JP9000/NPJA90116_00/wW2D0pAO8ck1Ct9HTVtVDr1VRhgX9gqCWjaA5R7FwGKdIlng2498hu1pVORO9cUanEdsG87FUpdUXnRKqXTt3bYX9iRL2k8N2R8QL.pkg?product=0088&country=jp	ce35a1a54d3a52fe6ec0e28962e4dce7	JP9000-NPJA90116_00-DRATCHETAN000001			2480900656	
NPHA20002	ASIA	Ratchet and Clank Future: Tools of Destruction - (DEMO)	http://zeus.dl.playstation.net/cdn/HP9000/NPHA20002_00/Nq5TQ81sK5LJtaPl6hfG93g2JBYfoAeBoFiUcf0FxdgpN5TWqQU643jxtTwJG1M9MwB0fLrEaoWiMyKkHxhpHmpgRB9iOQLlTS7N1.pkg	MISSING	HP9000-NPHA20002_00-ASIA000000000001			1688386896	
NPUB90843	US	NBA 2K13 DEMO	http://ares.dl.playstation.net/cdn/UP8801/NPUB90843_00/FmqTQHtDMvdsVxwvoLivBHsYfJTuosyIBZuotQJpDWHYPDtsGArpWaiERjiwJFNn.pkg	MISSING	UP8801-NPUB90843_00-NBA2K13DEMO00000			1064098576	
NPUB90497	US	Dragon Age™ II Demo	http://ares.dl.playstation.net/cdn/UP0006/NPUB90497_00/BGnbiAFCeusWekNwteHnSFxeEeGrtbmNquQGYJEdmCYGFSqakmquTfyTpPXBxkQIHPnfsHqEAKZBpExWYUsfOAMtreOjOjcmDLQPf.pkg	MISSING	UP0006-NPUB90497_00-DA2DEMOEN0000000			1891034192	
NPUB30373	US	LIMBO Demo	http://ares.dl.playstation.net/cdn/UP2054/NPUB30373_00/GiUrIooWcueOdoRXJVdKUGHvGSGStHinlGUqDYZdoAukvrWOwfhukwTehThOlLnKHMyAOLPtdOkvIOIheQdfFQcgglVJnmSsTBeWy.pkg	MISSING	UP2054-NPUB30373_00-LIMBOGAMEPACK001			98499264	
BLET70034	EU	Battlefield 4 [Beta]	MISSING	NOT REQUIRED	EP0006-BLET70034_00-BF4OPENBETA00000			0	
NPUB91036	US	EA SPORTS™ FIFA 17 Downloadable Demo	http://ares.dl.playstation.net/cdn/UP0006/NPUB91036_00/UP0006-NPUB91036_00-FIFA17DEMO000001_bg_1_a9a3434445226f8fe18d1f45dc2eee14737fc39d.pkg	NOT REQUIRED	UP0006-NPUB91036_00-FIFA17DEMO000001			1563063456	
NPEB90242	EU	Hamsterball Demo	http://zeus.dl.playstation.net/cdn/EP2016/NPEB90242_00/oBbkj4OwGNMOaHCTRHY9cAcCTsK4OLu2bvTDIkLVQW9Wf6CAEv2jmFty6K1hbExESHd6XeWdF6LAU97MwqHoedcEOAXXxuBeRcuGB.pkg	NOT REQUIRED	EP2016-NPEB90242_00-HAMSTERBALLDEMO0			131847344	
