Title ID	Region	Name	JSON direct link	RAP	Content ID	Required FW VERSION	KeyStone	Last Modification Date	Download .RAP file
CUSA00007	US	NBA 2K14	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00007_00/2/f_040dbd34a49715ea0cd9295ecb6af4c4885f057c932545fba70f66c214436803/f/UP1001-CUSA00007_00-NBA2K14000000000.json	MISSING	UP1001-CUSA00007_00-NBA2K14000000000			2018-06-16 16:52:45	
CUSA00010	US	Assassin's Creed IV: Black Flag	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00010_00/2/f_36ba127242fba8e7573b09ce95ff33c3bfcdb95271c00e18ed8114a8fef77e5c/f/UP0001-CUSA00010_00-AC4GAMEPS4000001.json	MISSING	UP0001-CUSA00010_00-AC4GAMEPS4000001			2018-01-14 13:24:44	
CUSA00011	US	Contrast	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00011_00/4/f_3135a717d307c1b57e5059b24c240b5968f9b9301894e0046940f31a5d888636/f/UP2092-CUSA00011_00-CONTRASTUS000001.json	MISSING	UP2092-CUSA00011_00-CONTRASTUS000001			2018-01-14 13:45:26	
CUSA00012	US	DC Universe Online	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00012_00/3/f_7d0e19245319c3cd04cf840f2de15d997607b16d8e75e464ec14773fbedd6ae1/f/UP0017-CUSA00012_00-DCUOLPS4LIVE0001.json	MISSING	UP0017-CUSA00012_00-DCUOLPS4LIVE0001			2018-01-14 13:48:14	
CUSA00018	US	Call Of Duty: Ghosts	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00018_00/3/f_d42f6db49def7c033d9b22c38e0107f4a326d2cd5e9fe75ab587250ce25b0aa1/f/UP0002-CUSA00018_00-CALLDUTYGHOSTSDL.json	MISSING	UP0002-CUSA00018_00-CALLDUTYGHOSTSDL			2018-01-14 13:42:50	
CUSA00020	US	F1™ 2015	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00020_00/7/f_e02cd9bbc0fc4d9bfc6dbdcd1065eac142a84095c868a9ea1c723a4b28003d5e/f/UP4001-CUSA00020_00-F12015AMASTER000.json	MISSING	UP4001-CUSA00020_00-F12015AMASTER000			2018-06-16 16:52:45	
CUSA00021	US	WATCH_DOGS™	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00021_00/3/f_6d02fa93d887171f278ef45761ae5072aeb48bfecd80cfcaee3420229dd06e59/f/UP0001-CUSA00021_00-WATCHDOGS0000000.json	MISSING	UP0001-CUSA00021_00-WATCHDOGS0000000			2018-06-16 16:52:45	
CUSA00034	US	Escape Plan	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00034_00/1/f_8bde1119d7f8b47f066f80e6642ba944ff2d9c0fd529e4729d1be30c21e12b77/f/UP9000-CUSA00034_00-ESCPGAMEMASTERUS.json	MISSING	UP9000-CUSA00034_00-ESCPGAMEMASTERUS			2018-01-27 00:42:14	
CUSA00036	US	Doki-Doki Universe	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00036_00/4/f_557b61e75b2e6863a1eeff674cc491103803bcdd2add3cd4b85c6c3966437e17/f/UP9000-CUSA00036_00-DDU0000000000000.json	MISSING	UP9000-CUSA00036_00-DDU0000000000000			2018-01-14 13:58:57	
CUSA00038	US	Resogun	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00038_00/2/f_b397eb6c65617e9fb86f5c15b9ee3bd20e2587995840b8ced7b2ae39dfbdd30a/f/UP9000-CUSA00038_00-RESOGUN000000002.json	MISSING	UP9000-CUSA00038_00-RESOGUN000000002			2018-01-27 00:42:14	
CUSA00042	US	Blacklight: Retribution	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00042_00/3/f_ce717b560dae27d2e1e3a51a1c5150c3df8bec470632cdfdf18ac0575859206e/f/UP2102-CUSA00042_00-BLACKLIGHT2ORBIS.json	MISSING	UP2102-CUSA00042_00-BLACKLIGHT2ORBIS			2018-01-14 13:34:19	
CUSA00045	US	Super Motherload	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00045_00/5/f_87ad7918bea2b178d3ec8dff11c2727dce573d09828e76162c217f86a5e75f8c/f/UP2095-CUSA00045_00-SMLPS40000000000.json	MISSING	UP2095-CUSA00045_00-SMLPS40000000000			2018-06-16 16:52:45	
CUSA00055	US	Tiny Brains	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00055_00/4/f_d9143074046bcc729fb4011a259f1844c16ffd114f00087cf12d5f0675b1147f/f/UP4040-CUSA00055_00-TINYBRAINSGAME01.json	MISSING	UP4040-CUSA00055_00-TINYBRAINSGAME01			2018-06-16 16:52:45	
CUSA00057	US	Strider	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00057_00/3/f_ac70e52c83482f5716d4ddaa366782e38ca9cd7768c6d256572fa21dd0d3f2da/f/UP0102-CUSA00057_00-STRUSHG4TRIAL001.json	MISSING	UP0102-CUSA00057_00-STRUSHG4TRIAL001			2018-01-27 00:42:14	
CUSA00059	US	Sony Crackle - Free Movies and TV	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00059_00/8/f_3bf52f680a0af7daa73c90309c7076f11d8ad3036879b7235fd86007f51aac25/f/US0007-CUSA00059_00-CRACKLEPS4TRILIT.json	MISSING	US0007-CUSA00059_00-CRACKLEPS4TRILIT			2018-06-16 16:52:45	
CUSA00068	US	Knack	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00068_00/3/f_f1ef51a6b2e24783ee03ba30bf8b424d3be6567003874b9881dbd287461510c1/f/UP9000-CUSA00068_00-KNACK00000000000.json	MISSING	UP9000-CUSA00068_00-KNACK00000000000			2018-01-14 14:01:34	
CUSA00069	US	Rayman Legends	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00069_00/2/f_512d45654938c4b0e3ef97b462ea03146bf02f63e149ecb0546cd7293371c31f/f/UP0001-CUSA00069_00-RAYMANLEGENDS001.json	MISSING	UP0001-CUSA00069_00-RAYMANLEGENDS001			2018-01-27 00:42:14	
CUSA00078	US	Dying Light	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00078_00/3/f_25ccccfab394886f11c2fb363b3e2ff3e80523eda5f96127ae7199491f637709/f/UP1018-CUSA00078_00-DYINGLIGHTGAME00.json	MISSING	UP1018-CUSA00078_00-DYINGLIGHTGAME00			2018-01-27 00:42:14	
CUSA00079	US	Injustice: Gods Among Us - Ultimate Edition	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00079_00/3/f_453645d5cf179f8ac1633dda42285a66fca9e88d7866694df377da9ab9c35ef4/f/UP1018-CUSA00079_00-INJUSTICEULTIMAT.json	MISSING	UP1018-CUSA00079_00-INJUSTICEULTIMAT			2018-01-14 13:58:03	
CUSA00080	US	Warframe	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00080_00/7/f_3927eccf4aa277ec4e2dc27be98d59892ea76067f3cd1c0aecc0f23f76898978/f/UP2097-CUSA00080_00-WARFRAMEFINAL001.json	MISSING	UP2097-CUSA00080_00-WARFRAMEFINAL001			2018-01-27 00:42:14	
CUSA00081	US	Pinball Arcade	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00081_00/15/f_fd3965ea949f19f5b04a5b365065f22e971f41c6145cef2941dc416e3f7bf8f2/f/UP2058-CUSA00081_00-HDDBOOTPBA000001.json	MISSING	UP2058-CUSA00081_00-HDDBOOTPBA000001			2018-01-27 00:42:14	
CUSA00083	US	LEGO Marvel Super Heroes	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00083_00/5/f_f9992eee668bbb46727e9e64fe85c3a3cbf0f4f521b0dfcf359d328e74ad1e99/f/UP1018-CUSA00083_00-LEGOMARVEL000000.json	MISSING	UP1018-CUSA00083_00-LEGOMARVEL000000			2018-11-08 21:25:46	
CUSA00084	US	The LEGO® Movie - Videogame	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00084_00/2/f_bd9209a1329ef15070958a0e75ac5ce033084766121be739df293585ddaf66a6/f/UP1018-CUSA00084_00-LEGOMOVIE0000000.json	MISSING	UP1018-CUSA00084_00-LEGOMOVIE0000000			2018-06-16 16:52:45	
CUSA00090	US	Sound Shapes	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00090_00/1/f_2a19fb677097af8986fc7e06df3a7151f6ed2951d4bb52eb9cbf63f19304c7e4/f/UP9000-CUSA00090_00-SOUNDSHAPES00000.json	MISSING	UP9000-CUSA00090_00-SOUNDSHAPES00000			2018-06-16 16:52:45	
CUSA00091	US	Hohokum	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA00091_00/1/f_7093276410bd21439291fa70e38cfd4938bf206f3a26983f4982f9bb65f330e5/f/UP9000-CUSA00091_00-HOHOKUMGAMEPKG01.json	MISSING	UP9000-CUSA00091_00-HOHOKUMGAMEPKG01			2018-06-16 16:52:45	
