Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	Original Name	File Size	SHA256	Required FW	App Version
PCSH00135	ASIA	Sword Art Online: Lost Song (ENG) (ASIA)	MISSING	KO5ifR1dQ+d7BIBcAlLtATTd2BRkf0CQv0uoc0iAo7O3o7urgSE+/zkw3jNSimq70F/PFlOYOnftaIwPbgAAZcYThgAA	HP0700-PCSH00135_00-PRODUCTPACKAGE01		Sword Art Online: Lost Song (ENG)	3115264880			1
PCSH00187	ASIA	Resident Evil: Revelations 2 (ENG/CHI/KOR/JPN)	http://zeus.dl.playstation.net/cdn/HP0102/PCSH00187_00/HP0102-PCSH00187_00-RESIDEVILREVELS2_bg_1_550f751539b4e9a1cc9ce851520eb29d6bb8a1f8.pkg	KO5ifR1dQ+d7BBgYQmzxAJpuYQ6yP8g12NPFNczTJ8g1zNUn2Aif/3a/f3q6LkDvk09ua+jOPfbfR2N8cAMAj+UWmAAA	HP0102-PCSH00187_00-RESIDEVILREVELS2		Resident Evil: Revelations 2 (ENG/CHI/KOR/JPN)	3003860688		3.52	1
PCSC80024	JP	SKY PerfecTV! On demand	MISSING	KO5ifR1dQ+d7gRQbg02xAFpnArI/OCAkzAAJ4POfxSn+9I59vHZs/V4lC605S0djfHADAA3bEZcA	JA0003-PCSC80024_00-SPTV000000000000		スカパー！オンデマンド	0			1
PCSC80020	JP	TSUTAYA TV	MISSING	KO5ifR1dQ+d7gRQbg02xAFoHtj8kODTEMdIRbik+/6VmW7FoJ8xufhV/ZKO+0bbfozE+uAEAjbUTsgAA	JA0003-PCSC80020_00-TSUTAYA000000000			0			1
PCSB00071	EU	Michael Jackson The Experience HD	http://zeus.dl.playstation.net/cdn/EP0001/PCSB00071_00/qwQeqFexCgMzKRDwNkhmVmPfnCzzHXqiZAdziPNSHebDpHinkfHXrDkaiRsstRoO.pkg	KO5ifR1dQ+e7BsBMBak2NwTZ7+vp7OHo6uPl6Owd7O/n4YLPf+LH2+SfuHz/XNJV4PYzvP/QaIwPbgAAIkQVxwAA	EP0001-PCSB00071_00-MICHAELJACKSONHD		Michael Jackson The Experience HD	1438141248		1.06	1
f17aa46fac4f312b	JP	TSUTAYA TV	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSC80020/PCSC80020_T0/f17aa46fac4f312b/JA0003-PCSC80020_00-TSUTAYA000000000-A0101-V0100-304c1e8d3ba415b185e705f4bf30ec865f25771c-PE.pkg	KO5ifR1dQ+d7gRQbg02xAFoHtj8kODTEMdIRbik+/6VmW7FoJ8xufhV/ZKO+0bbfozE+uAEAjbUTsgAA	JA0003-PCSC80020_00-TSUTAYA000000000		TSUTAYA TV	20722976		3	1.01
abceb8cba71337e1	JP	SKY PerfecTV! On demand	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSC80024/PCSC80024_T0/abceb8cba71337e1/JA0003-PCSC80024_00-SPTV000000000000-A0101-V0100-d87f4963577ed801fb44f862d1bf7e6f9579326e-PE.pkg	KO5ifR1dQ+d7gRQbg02xAFpnArI/OCAkzAAJ4POfxSn+9I59vHZs/V4lC605S0djfHADAA3bEZcA	JA0003-PCSC80024_00-SPTV000000000000		スカパー！ オンデマンド	19740784		3	1.01
PCSH10055	ASIA	Cursed Castilla (ASIA)	MISSING	KO5ifR1dQ+d7BBgBrQWp9jAEMkxB9hugACMDfP5z3l5+TaTvlVd/9e+9J79J947G+OAGABPVFK8A	HP2005-PCSH10055_00-0000000000000020			98997760			1
PCSH10032	ASIA	Tokyo Twilight Ghost Hunters Daybreak: Special Gigs (for PS Vita) (ASIA)	MISSING	KO5ifR1dQ+d7BADtNwOp9jAEsoxA9oeEuHu4OEY6Bbk6egcHuHvh859iy+d896Ib7ocmRzyXUXt/ZDTGBzcAAK3pFXoA	HP0036-PCSH10032_00-TTGHDAYBREAKSPGJ			1633376624			1
PCSH00195	ASIA	MOBILE SUIT GUNDAM EXTREME VS-FORCE (ENG) (ASIA)	MISSING	KO5ifR1dQ+d7BIBcAlLtATTd0hRkf1hwiKMBEsDnv9sbmQ4xct1/v+qVQ0W6ornVaIwPbgAA/NMTVwAA	HP0700-PCSH00195_00-VSTA000000000000			1487510928			1
PCSH00257	ASIA	Attack On Titan (KOR)	MISSING	KO5ifR1dQ+d7B5gaGJqAVHsAbTM1B9sfYugd5OHi4u7oC7LKAJ//VOJn3Ety3LyHtU/q9y3HbqXRGB/cAAAZ8RP4	KP5014-PCSH00257_00-AT1KRHDDGAME0000		진격의거인 (한국어판)	0			1
